ten,ma,thu_tu
Thành phố Hà Nội,01,1
Tỉnh Hà Giang,02,2
Tỉnh Cao Bằng,04,4
Tỉnh Bắc Kạn,06,6
Tỉnh Tuyên Quang,08,8
Tỉnh Lào Cai,10,10
Tỉnh Điện Biên,11,11
Tỉnh Lai Châu,12,12
Tỉnh Sơn La,14,14
Tỉnh Yên Bái,15,15
Tỉnh Hoà Bình,17,17
Tỉnh Thái Nguyên,19,19
Tỉnh Lạng Sơn,20,20
Tỉnh Quảng Ninh,22,22
Tỉnh Bắc Giang,24,24
Tỉnh Phú Thọ,25,25
Tỉnh Vĩnh Phúc,26,26
Tỉnh Bắc Ninh,27,27
Tỉnh Hải Dương,30,30
Thành phố Hải Phòng,31,31
Tỉnh Hưng Yên,33,33
Tỉnh Thái Bình,34,34
Tỉnh Hà Nam,35,35
Tỉnh Nam Định,36,36
Tỉnh Ninh Bình,37,37
Tỉnh Thanh Hóa,38,38
Tỉnh Nghệ An,40,40
Tỉnh Hà Tĩnh,42,42
Tỉnh Quảng Bình,44,44
Tỉnh Quảng Trị,45,45
Thành phố Huế,46,46
Thành phố Đà Nẵng,48,48
Tỉnh Quảng Nam,49,49
Tỉnh Quảng Ngãi,51,51
Tỉnh Bình Định,52,52
Tỉnh Phú Yên,54,54
Tỉnh Khánh Hòa,56,56
Tỉnh Ninh Thuận,58,58
Tỉnh Bình Thuận,60,60
Tỉnh Kon Tum,62,62
Tỉnh Gia Lai,64,64
Tỉnh Đắk Lắk,66,66
Tỉnh Đắk Nông,67,67
Tỉnh Lâm Đồng,68,68
Tỉnh Bình Phước,70,70
Tỉnh Tây Ninh,72,72
Tỉnh Bình Dương,74,74
Tỉnh Đồng Nai,75,75
Tỉnh Bà Rịa - Vũng Tàu,77,77
Thành phố Hồ Chí Minh,79,79
Tỉnh Long An,80,80
Tỉnh Tiền Giang,82,82
Tỉnh Bến Tre,83,83
Tỉnh Trà Vinh,84,84
Tỉnh Vĩnh Long,86,86
Tỉnh Đồng Tháp,87,87
Tỉnh An Giang,89,89
Tỉnh Kiên Giang,91,91
Thành phố Cần Thơ,92,92
Tỉnh Hậu Giang,93,93
Tỉnh Sóc Trăng,94,94
Tỉnh Bạc Liêu,95,95
Tỉnh Cà Mau,96,96
