ten,ma,thu_tu,ghi_chu
Thành phố Hà Nội,01,1,Tỉnh/Tp mới 2025
Tỉnh Cao Bằng,04,2,Tỉnh/Tp mới 2025
Tỉnh Tuyên Quang,08,3,Tỉnh/Tp mới 2025
Tỉnh Điện Biên,11,4,Tỉnh/Tp mới 2025
Tỉnh Lai Châu,12,5,Tỉnh/Tp mới 2025
Tỉnh Sơn La,14,6,Tỉnh/Tp mới 2025
Tỉnh Lào Cai,15,7,Tỉnh/Tp mới 2025
Tỉnh Thái Nguyên,19,8,Tỉnh/Tp mới 2025
Tỉnh Lạng Sơn,20,9,Tỉnh/Tp mới 2025
Tỉnh Quảng Ninh,22,10,Tỉnh/Tp mới 2025
Tỉnh Bắc Ninh,24,11,Tỉnh/Tp mới 2025
Tỉnh Phú Thọ,25,12,Tỉnh/Tp mới 2025
Thành phố Hải Phòng,31,13,Tỉnh/Tp mới 2025
Tỉnh Hưng Yên,33,14,Tỉnh/Tp mới 2025
Tỉnh Ninh Bình,37,15,Tỉnh/Tp mới 2025
Tỉnh Thanh Hóa,38,16,Tỉnh/Tp mới 2025
Tỉnh Nghệ An,40,17,Tỉnh/Tp mới 2025
Tỉnh Hà Tĩnh,42,18,Tỉnh/Tp mới 2025
Tỉnh Quảng Trị,44,19,Tỉnh/Tp mới 2025
Thành phố Huế,46,20,Tỉnh/Tp mới 2025
Thành phố Đà Nẵng,48,21,Tỉnh/Tp mới 2025
Tỉnh Quảng Ngãi,51,22,Tỉnh/Tp mới 2025
Tỉnh Gia Lai,52,23,Tỉnh/Tp mới 2025
Tỉnh Khánh Hòa,56,24,Tỉnh/Tp mới 2025
Tỉnh Đắk Lắk,66,25,Tỉnh/Tp mới 2025
Tỉnh Lâm Đồng,68,26,Tỉnh/Tp mới 2025
Tỉnh Đồng Nai,75,27,Tỉnh/Tp mới 2025
Thành phố Hồ Chí Minh,79,28,Tỉnh/Tp mới 2025
Tỉnh Tây Ninh,80,29,Tỉnh/Tp mới 2025
Tỉnh Đồng Tháp,82,30,Tỉnh/Tp mới 2025
Tỉnh Vĩnh Long,86,31,Tỉnh/Tp mới 2025
Tỉnh An Giang,91,32,Tỉnh/Tp mới 2025
Thành phố Cần Thơ,92,33,Tỉnh/Tp mới 2025
Tỉnh Cà Mau,96,34,Tỉnh/Tp mới 2025
